Län,År,Population
Stockholms län,2020,2391990
Uppsala län,2020,388394
Södermanlands län,2020,299401
Östergötlands län,2020,467158
Jönköpings län,2020,365010
Kronobergs län,2020,202263
Kalmar län,2020,246010
Gotlands län,2020,60124
Blekinge län,2020,159056
Skåne län,2020,1389336
Hallands län,2020,336748
Västra Götalands län,2020,1734443
Värmlands län,2020,282885
Örebro län,2020,305643
Västmanlands län,2020,277141
Dalarnas län,2020,287676
Gävleborgs län,2020,287502
Västernorrlands län,2020,244554
Jämtlands län,2020,131155
Västerbottens län,2020,273192
Norrbottens län,2020,249614
Stockholms län,2021,2415139
Uppsala län,2021,395026
Södermanlands län,2021,301801
Östergötlands län,2021,469704
Jönköpings län,2021,367064
Kronobergs län,2021,203340
Kalmar län,2021,247175
Gotlands län,2021,61001
Blekinge län,2021,158937
Skåne län,2021,1402425
Hallands län,2021,340243
Västra Götalands län,2021,1744859
Värmlands län,2021,283196
Örebro län,2021,306792
Västmanlands län,2021,278967
Dalarnas län,2021,288387
Gävleborgs län,2021,287767
Västernorrlands län,2021,244193
Jämtlands län,2021,132054
Västerbottens län,2021,274563
Norrbottens län,2021,249693
Stockholms län,2022,2440027
Uppsala län,2022,400682
Södermanlands län,2022,302566
Östergötlands län,2022,471912
Jönköpings län,2022,369113
Kronobergs län,2022,204335
Kalmar län,2022,247711
Gotlands län,2022,61173
Blekinge län,2022,158740
Skåne län,2022,1414324
Hallands län,2022,342805
Västra Götalands län,2022,1758656
Värmlands län,2022,283976
Örebro län,2022,307772
Västmanlands län,2022,280713
Dalarnas län,2022,288310
Gävleborgs län,2022,287334
Västernorrlands län,2022,243265
Jämtlands län,2022,132670
Västerbottens län,2022,276295
Norrbottens län,2022,249177
Stockholms län,2023,2454821
Uppsala län,2023,404589
Södermanlands län,2023,301944
Östergötlands län,2023,472298
Jönköpings län,2023,368856
Kronobergs län,2023,203686
Kalmar län,2023,246667
Gotlands län,2023,61029
Blekinge län,2023,157973
Skåne län,2023,1421781
Hallands län,2023,343746
Västra Götalands län,2023,1767016
Värmlands län,2023,283548
Örebro län,2023,308116
Västmanlands län,2023,280813
Dalarnas län,2023,287253
Gävleborgs län,2023,285642
Västernorrlands län,2023,242148
Jämtlands län,2023,132572
Västerbottens län,2023,278729
Norrbottens län,2023,248480
Alla,1990,8590630
Alla,1991,8644119
Alla,1992,8692013
Alla,1993,8745109
Alla,1994,8816381
Alla,1995,8837496
Alla,1996,8844499
Alla,1997,8847625
Alla,1998,8854322
Alla,1999,8861426
Alla,2000,8882792
Alla,2001,8909128
Alla,2002,8940788
Alla,2003,8975670
Alla,2004,9011392
Alla,2005,9047752
Alla,2006,9113257
Alla,2007,9182927
Alla,2008,9256347
Alla,2009,9340682
Alla,2010,9415570
Alla,2011,9482855
Alla,2012,9555893
Alla,2013,9644864
Alla,2014,9747355
Alla,2015,9851017
Alla,2016,9995153
Alla,2017,10120242
Alla,2018,10230185
Alla,2019,10327589
Alla,2020,10379295
Alla,2021,10452326
Alla,2022,10521556
Alla,2023,10551707
